acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),,050_m_f_n_a.png,I,space,12763,1,1,,,8005,NNB,A,0
1,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),125694.80000000447,063_y_f_n_a.png,I,m,920,2,1,1724.5,123970.30000000447,8005,NNB,A,1
2,prac,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),127327.0,063_y_f_n_a.png,I,z,843,3,1,1624.6999999955297,125702.30000000447,8005,NNB,A,2
3,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),128677.10000000149,053_o_m_n_a.png,I,m,546,4,1,1342.7999999970198,127334.30000000447,8005,NNB,A,3
4,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),130059.70000000298,058_m_m_n_a.png,I,m,580,5,1,1375.6000000014901,128684.10000000149,8005,NNB,A,4
5,prac,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),131242.8999999985,058_m_m_n_a.png,I,z,407,6,1,1175.8999999985099,130067.0,8005,NNB,A,5
6,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),132959.0,047_o_f_n_a.png,I,m,881,7,1,1709.1999999955297,131249.80000000447,8005,NNB,A,6
7,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),134275.20000000298,045_m_m_n_a.png,I,m,509,8,1,1309.5,132965.70000000298,8005,NNB,A,7
8,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),135591.70000000298,050_m_f_n_a.png,I,m,502,9,1,1309.8999999985099,134281.80000000447,8005,NNB,A,8
9,prac,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),136941.1000000015,050_m_f_n_a.png,I,z,563,10,1,1342.6000000014901,135598.5,8005,NNB,A,9
10,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),138524.1000000015,053_o_m_n_a.png,I,m,806,11,1,1576.0,136948.1000000015,8005,NNB,A,10
11,prac,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),139790.30000000447,010_y_f_n_a.png,I,m,425,12,1,1259.0,138531.30000000447,8005,NNB,A,11
0,test,1,0.0,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),139790.30000000447,063_y_f_n_a.png,I,space,10055,1,1,1259.0,138531.30000000447,8005,NNB,A,0
1,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),159567.30000000447,043_m_f_n_a.png,I,m,728,2,1,1743.3000000044703,157824.0,8005,NNB,A,1
2,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),161250.30000000447,010_y_f_n_a.png,I,m,666,3,1,1677.4000000059605,159572.8999999985,8005,NNB,A,2
3,test,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),162699.6000000015,010_y_f_n_a.png,I,z,423,4,1,1443.1000000014901,161256.5,8005,NNB,A,3
4,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),164432.5,043_m_f_n_a.png,I,m,710,5,1,1727.0,162705.5,8005,NNB,A,4
5,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),166181.8999999985,053_o_m_n_a.png,I,m,721,6,1,1743.6999999955297,164438.20000000298,8005,NNB,A,5
6,test,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),167781.3999999985,053_o_m_n_a.png,I,z,571,7,1,1593.0999999940395,166188.30000000447,8005,NNB,A,6
7,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),169313.8999999985,058_m_m_n_a.png,I,m,508,8,1,1526.5999999940395,167787.30000000447,8005,NNB,A,7
8,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),170897.0,047_o_f_n_a.png,I,m,559,9,1,1576.1000000014901,169320.8999999985,8005,NNB,A,8
9,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),172330.0,058_m_m_n_a.png,I,m,416,10,1,1427.1999999955297,170902.80000000447,8005,NNB,A,9
10,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),173895.8999999985,041_y_m_n_a.png,I,m,544,11,1,1560.2999999970198,172335.6000000015,8005,NNB,A,10
11,test,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),175279.0,041_y_m_n_a.png,I,z,353,12,1,1377.5,173901.5,8005,NNB,A,11
12,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),176728.5,044_o_f_n_a.png,I,m,426,13,1,1443.7999999970198,175284.70000000298,8005,NNB,A,12
13,test,1,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),178127.8999999985,044_o_f_n_a.png,I,z,377,14,1,1393.7999999970198,176734.1000000015,8005,NNB,A,13
14,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),179777.70000000298,008_y_m_n_a.png,I,m,617,15,1,1643.8000000044703,178133.8999999985,8005,NNB,A,14
15,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),181226.8999999985,050_m_f_n_a.png,I,m,424,16,1,1443.2999999970198,179783.6000000015,8005,NNB,A,15
16,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),182710.1000000015,046_o_m_n_a.png,I,m,462,17,1,1477.1000000014901,181233.0,8005,NNB,A,16
17,test,1,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),184159.5,050_m_f_n_a.png,I,m,418,18,1,1443.5,182716.0,8005,NNB,A,17
0,test,2,0.0,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),184159.5,058_m_m_n_a.png,I,space,1402,1,1,1443.5,182716.0,8005,NNB,A,0
1,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),189074.6000000015,043_m_f_n_a.png,I,m,466,2,1,1476.7000000029802,187597.8999999985,8005,NNB,A,1
2,test,2,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),190490.8999999985,043_m_f_n_a.png,I,z,390,3,1,1410.5999999940395,189080.30000000447,8005,NNB,A,2
3,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),191973.5,058_m_m_n_a.png,I,m,454,4,1,1476.5,190497.0,8005,NNB,A,3
4,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),193473.1000000015,041_y_m_n_a.png,I,m,475,5,1,1493.2000000029802,191979.8999999985,8005,NNB,A,4
5,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),194906.0,063_y_f_n_a.png,I,m,408,6,1,1427.1000000014901,193478.8999999985,8005,NNB,A,5
6,test,2,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),196306.0,063_y_f_n_a.png,I,z,375,7,1,1394.1999999955297,194911.80000000447,8005,NNB,A,6
7,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),197905.3999999985,041_y_m_n_a.png,I,m,576,8,1,1593.5999999940395,196311.80000000447,8005,NNB,A,7
8,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),199354.70000000298,044_o_f_n_a.png,I,m,423,9,1,1443.8000000044703,197910.8999999985,8005,NNB,A,8
9,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),200821.0,045_m_m_n_a.png,I,m,447,10,1,1460.2999999970198,199360.70000000298,8005,NNB,A,9
10,test,2,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),202187.1000000015,045_m_m_n_a.png,I,z,340,11,1,1360.2000000029802,200826.8999999985,8005,NNB,A,10
11,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),203944.70000000298,044_o_f_n_a.png,I,m,723,12,1,1751.7000000029802,202193.0,8005,NNB,A,11
12,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),205369.5,047_o_f_n_a.png,I,m,401,13,1,1419.0,203950.5,8005,NNB,A,12
13,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),206869.20000000298,053_o_m_n_a.png,I,m,480,14,1,1493.3999999985099,205375.80000000447,8005,NNB,A,13
14,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),208385.5,046_o_m_n_a.png,I,m,484,15,1,1510.5,206875.0,8005,NNB,A,14
15,test,2,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),209818.20000000298,046_o_m_n_a.png,I,z,416,16,1,1426.8000000044703,208391.3999999985,8005,NNB,A,15
16,test,2,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),211267.80000000447,008_y_m_n_a.png,I,m,431,17,1,1443.8000000044703,209824.0,8005,NNB,A,16
17,test,2,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),212817.3999999985,008_y_m_n_a.png,I,z,518,18,1,1543.8999999985099,211273.5,8005,NNB,A,17
0,test,3,1.0,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),212817.3999999985,010_y_f_n_a.png,I,space,1168,1,1,1543.8999999985099,211273.5,8005,NNB,A,0
1,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),218349.0,046_o_m_n_a.png,I,m,1262,2,1,2277.10000000149,216071.8999999985,8005,NNB,A,1
2,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),219931.6000000015,046_o_m_n_a.png,I,z,564,3,1,1574.6000000014901,218357.0,8005,NNB,A,2
3,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),221497.80000000447,050_m_f_n_a.png,I,m,542,4,1,1560.2000000029802,219937.6000000015,8005,NNB,A,3
4,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),222980.8999999985,050_m_f_n_a.png,I,z,456,5,1,1476.8999999985099,221504.0,8005,NNB,A,4
5,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),224430.1000000015,044_o_f_n_a.png,I,m,420,6,1,1443.1000000014901,222987.0,8005,NNB,A,5
6,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),225879.80000000447,041_y_m_n_a.png,I,m,419,7,1,1443.9000000059605,224435.8999999985,8005,NNB,A,6
7,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),227470.80000000447,044_o_f_n_a.png,I,m,574,8,1,1585.0,225885.80000000447,8005,NNB,A,7
8,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),229029.0,008_y_m_n_a.png,I,m,538,9,1,1551.7999999970198,227477.20000000298,8005,NNB,A,8
9,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),230394.80000000447,008_y_m_n_a.png,I,z,348,10,1,1360.6000000014901,229034.20000000298,8005,NNB,A,9
10,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),231927.8999999985,043_m_f_n_a.png,I,m,510,11,1,1526.8999999985099,230401.0,8005,NNB,A,10
11,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),233477.3999999985,063_y_f_n_a.png,I,m,521,12,1,1543.5999999940395,231933.80000000447,8005,NNB,A,11
12,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),235077.0,063_y_f_n_a.png,I,z,580,13,1,1593.7999999970198,233483.20000000298,8005,NNB,A,12
13,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),236576.70000000298,043_m_f_n_a.png,I,m,468,14,1,1493.8000000044703,235082.8999999985,8005,NNB,A,13
14,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),238009.3999999985,058_m_m_n_a.png,I,m,401,15,1,1426.8999999985099,236582.5,8005,NNB,A,14
15,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),239442.30000000447,058_m_m_n_a.png,I,z,416,16,1,1426.7000000029802,238015.6000000015,8005,NNB,A,15
16,test,3,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),241041.8999999985,047_o_f_n_a.png,I,m,567,17,1,1593.5,239448.3999999985,8005,NNB,A,16
17,test,3,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),242475.70000000298,047_o_f_n_a.png,I,z,416,18,1,1427.8999999985099,241047.80000000447,8005,NNB,A,17
0,test,4,1.0,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),242475.70000000298,050_m_f_n_a.png,I,space,2198,1,1,1427.8999999985099,241047.80000000447,8005,NNB,A,0
1,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),248173.0,046_o_m_n_a.png,I,m,455,2,1,1475.2999999970198,246697.70000000298,8005,NNB,A,1
2,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),249788.8999999985,050_m_f_n_a.png,I,m,596,3,1,1610.0999999940395,248178.80000000447,8005,NNB,A,2
3,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),251521.80000000447,044_o_f_n_a.png,I,m,655,4,1,1727.2000000029802,249794.6000000015,8005,NNB,A,3
4,test,4,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),252921.20000000298,044_o_f_n_a.png,I,z,374,5,1,1393.3000000044703,251527.8999999985,8005,NNB,A,4
5,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),254337.5,063_y_f_n_a.png,I,m,392,6,1,1410.6999999955297,252926.80000000447,8005,NNB,A,5
6,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),255903.70000000298,041_y_m_n_a.png,I,m,543,7,1,1560.1000000014901,254343.6000000015,8005,NNB,A,6
7,test,4,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),257353.30000000447,041_y_m_n_a.png,I,z,426,8,1,1443.6000000014901,255909.70000000298,8005,NNB,A,7
8,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),258786.3999999985,063_y_f_n_a.png,I,m,401,9,1,1426.8999999985099,257359.5,8005,NNB,A,8
9,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),260286.70000000298,045_m_m_n_a.png,I,m,479,10,1,1494.3000000044703,258792.3999999985,8005,NNB,A,9
10,test,4,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),262085.30000000447,045_m_m_n_a.png,I,z,771,11,1,1793.0,260292.30000000447,8005,NNB,A,10
11,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),263618.30000000447,047_o_f_n_a.png,I,m,500,12,1,1526.9000000059605,262091.3999999985,8005,NNB,A,11
12,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),265167.5,053_o_m_n_a.png,I,m,519,13,1,1543.1999999955297,263624.30000000447,8005,NNB,A,12
13,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),266833.6000000015,047_o_f_n_a.png,I,m,634,14,1,1659.2000000029802,265174.3999999985,8005,NNB,A,13
14,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),268333.0,010_y_f_n_a.png,I,m,472,15,1,1493.1999999955297,266839.80000000447,8005,NNB,A,14
15,test,4,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),269782.700000003,010_y_f_n_a.png,I,z,420,16,1,1443.8000000044703,268338.8999999985,8005,NNB,A,15
16,test,4,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),271348.8999999985,043_m_f_n_a.png,I,m,547,17,1,1560.2999999970198,269788.6000000015,8005,NNB,A,16
17,test,4,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),272898.3999999985,043_m_f_n_a.png,I,z,524,18,1,1543.3999999985099,271355.0,8005,NNB,A,17
0,test,5,1.0,1-Back,,,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),272898.3999999985,053_o_m_n_a.png,I,space,1643,1,1,1543.3999999985099,271355.0,8005,NNB,A,0
1,test,5,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),277997.0,053_o_m_n_a.png,I,z,430,2,1,1442.5,276554.5,8005,NNB,A,1
2,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),279479.700000003,063_y_f_n_a.png,I,m,452,3,1,1476.7000000029802,278003.0,8005,NNB,A,2
3,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),280947.0,041_y_m_n_a.png,I,m,442,4,1,1461.1000000014901,279485.8999999985,8005,NNB,A,3
4,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),282395.5,063_y_f_n_a.png,I,m,424,5,1,1441.6000000014901,280953.8999999985,8005,NNB,A,4
5,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),283978.30000000447,058_m_m_n_a.png,I,m,566,6,1,1577.0,282401.30000000447,8005,NNB,A,5
6,test,5,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),285378.0,058_m_m_n_a.png,I,z,375,7,1,1393.6999999955297,283984.30000000447,8005,NNB,A,6
7,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),286927.5,010_y_f_n_a.png,I,m,527,8,1,1543.1999999955297,285384.30000000447,8005,NNB,A,7
8,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),288426.80000000447,008_y_m_n_a.png,I,m,482,9,1,1493.4000000059605,286933.3999999985,8005,NNB,A,8
9,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),290009.700000003,010_y_f_n_a.png,I,m,550,10,1,1576.8000000044703,288432.8999999985,8005,NNB,A,9
10,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),291526.0,047_o_f_n_a.png,I,m,488,11,1,1510.1000000014901,290015.8999999985,8005,NNB,A,10
11,test,5,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),292958.80000000447,047_o_f_n_a.png,I,z,404,12,1,1427.2000000029802,291531.6000000015,8005,NNB,A,11
12,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),294391.80000000447,046_o_m_n_a.png,I,m,411,13,1,1426.9000000059605,292964.8999999985,8005,NNB,A,12
13,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),295908.0,050_m_f_n_a.png,I,m,498,14,1,1510.3999999985099,294397.6000000015,8005,NNB,A,13
14,test,5,1.0,1-Back,1,z,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),297357.30000000447,050_m_f_n_a.png,I,z,429,15,1,1443.0,295914.30000000447,8005,NNB,A,14
15,test,5,0.0,1-Back,1,m,Wed Oct 30 2024 13:26:10 GMT-0500 (Central Daylight Time),298906.80000000447,046_o_m_n_a.png,I,m,524,16,1,1543.0,297363.80000000447,8005,NNB,A,15
